service_id,date,exception_type
1,20160225,1
8,20160225,1
14,20160225,1
16,20160225,1
20,20160225,1
27,20160225,1
32,20160225,1
39,20160225,1
43,20160225,1
63,20160225,1
67,20160225,1
1,20160226,1
6,20160226,1
8,20160226,1
14,20160226,1
16,20160226,1
20,20160226,1
28,20160226,1
31,20160226,1
39,20160226,1
43,20160226,1
56,20160226,1
99,20160226,1
2,20160227,1
6,20160227,1
14,20160227,1
16,20160227,1
26,20160227,1
43,20160227,1
76,20160227,1
99,20160227,1
3,20160228,1
43,20160228,1
76,20160228,1
117,20160228,1
1,20160229,1
7,20160229,1
16,20160229,1
20,20160229,1
28,20160229,1
32,20160229,1
35,20160229,1
43,20160229,1
63,20160229,1
99,20160229,1
9,20160301,1
10,20160301,1
12,20160301,1
15,20160301,1
17,20160301,1
18,20160301,1
19,20160301,1
20,20160301,1
21,20160301,1
39,20160301,1
40,20160301,1
42,20160301,1
45,20160301,1
47,20160301,1
58,20160301,1
59,20160301,1
60,20160301,1
63,20160301,1
66,20160301,1
67,20160301,1
68,20160301,1
92,20160301,1
100,20160301,1
101,20160301,1
121,20160301,1
5,20160302,1
10,20160302,1
12,20160302,1
15,20160302,1
17,20160302,1
18,20160302,1
19,20160302,1
20,20160302,1
21,20160302,1
39,20160302,1
40,20160302,1
42,20160302,1
46,20160302,1
50,20160302,1
52,20160302,1
59,20160302,1
63,20160302,1
64,20160302,1
67,20160302,1
68,20160302,1
87,20160302,1
88,20160302,1
92,20160302,1
100,20160302,1
101,20160302,1
107,20160302,1
9,20160303,1
10,20160303,1
12,20160303,1
15,20160303,1
17,20160303,1
18,20160303,1
19,20160303,1
20,20160303,1
21,20160303,1
39,20160303,1
40,20160303,1
42,20160303,1
47,20160303,1
50,20160303,1
54,20160303,1
58,20160303,1
63,20160303,1
64,20160303,1
65,20160303,1
66,20160303,1
67,20160303,1
92,20160303,1
100,20160303,1
101,20160303,1
107,20160303,1
121,20160303,1
6,20160304,1
9,20160304,1
10,20160304,1
12,20160304,1
15,20160304,1
17,20160304,1
18,20160304,1
19,20160304,1
20,20160304,1
21,20160304,1
38,20160304,1
39,20160304,1
42,20160304,1
46,20160304,1
47,20160304,1
55,20160304,1
56,20160304,1
59,20160304,1
60,20160304,1
64,20160304,1
66,20160304,1
68,20160304,1
88,20160304,1
92,20160304,1
101,20160304,1
111,20160304,1
4,20160305,1
6,20160305,1
15,20160305,1
18,20160305,1
21,20160305,1
24,20160305,1
26,20160305,1
42,20160305,1
87,20160305,1
111,20160305,1
118,20160305,1
13,20160306,1
22,20160306,1
42,20160306,1
44,20160306,1
117,20160306,1
118,20160306,1
9,20160307,1
11,20160307,1
12,20160307,1
17,20160307,1
18,20160307,1
19,20160307,1
20,20160307,1
21,20160307,1
35,20160307,1
37,20160307,1
40,20160307,1
42,20160307,1
46,20160307,1
52,20160307,1
55,20160307,1
59,20160307,1
60,20160307,1
63,20160307,1
64,20160307,1
66,20160307,1
101,20160307,1
107,20160307,1
111,20160307,1
121,20160307,1
9,20160308,1
10,20160308,1
12,20160308,1
15,20160308,1
17,20160308,1
18,20160308,1
19,20160308,1
20,20160308,1
21,20160308,1
39,20160308,1
40,20160308,1
42,20160308,1
45,20160308,1
47,20160308,1
48,20160308,1
58,20160308,1
59,20160308,1
60,20160308,1
63,20160308,1
66,20160308,1
67,20160308,1
68,20160308,1
92,20160308,1
100,20160308,1
101,20160308,1
121,20160308,1
5,20160309,1
10,20160309,1
12,20160309,1
15,20160309,1
17,20160309,1
18,20160309,1
19,20160309,1
20,20160309,1
21,20160309,1
39,20160309,1
40,20160309,1
42,20160309,1
46,20160309,1
50,20160309,1
52,20160309,1
59,20160309,1
63,20160309,1
64,20160309,1
67,20160309,1
68,20160309,1
87,20160309,1
88,20160309,1
92,20160309,1
100,20160309,1
101,20160309,1
107,20160309,1
9,20160310,1
10,20160310,1
12,20160310,1
15,20160310,1
17,20160310,1
18,20160310,1
19,20160310,1
20,20160310,1
21,20160310,1
39,20160310,1
40,20160310,1
42,20160310,1
47,20160310,1
50,20160310,1
54,20160310,1
58,20160310,1
63,20160310,1
